date,exchange_rate_USD_JY,cpi_us,inflation_us,interest_r_us,gdp_pc_us,govt_debt_us
1971-01-04,357.73,39.9,4.29276668813045,5.5,24535.0,34.50345
1971-01-05,357.81,39.9,4.29276668813045,5.5,24535.0,34.50345
1971-01-06,357.86,39.9,4.29276668813045,3.75,24535.0,34.50345
1971-01-07,357.87,39.9,4.29276668813045,4.5,24535.0,34.50345
1971-01-08,357.82,39.9,4.29276668813045,4.5,24535.0,34.50345
1971-01-11,357.95,39.9,4.29276668813045,4.38,24535.0,34.50345
1971-01-12,358.06,39.9,4.29276668813045,4.25,24535.0,34.50345
1971-01-13,358.44,39.9,4.29276668813045,3.25,24535.0,34.50345
1971-01-14,358.4,39.9,4.29276668813045,4.13,24535.0,34.50345
1971-01-15,358.4,39.9,4.29276668813045,4.0,24535.0,34.50345
1971-01-18,358.29,39.9,4.29276668813045,3.88,24535.0,34.50345
1971-01-19,358.35,39.9,4.29276668813045,4.13,24535.0,34.50345
1971-01-20,358.4,39.9,4.29276668813045,4.75,24535.0,34.50345
1971-01-21,358.27,39.9,4.29276668813045,4.63,24535.0,34.50345
1971-01-22,357.9,39.9,4.29276668813045,4.25,24535.0,34.50345
1971-01-25,357.73,39.9,4.29276668813045,4.13,24535.0,34.50345
1971-01-26,357.78,39.9,4.29276668813045,3.88,24535.0,34.50345
1971-01-27,357.79,39.9,4.29276668813045,4.25,24535.0,34.50345
1971-01-28,357.83,39.9,4.29276668813045,4.25,24535.0,34.50345
1971-01-29,357.72,39.9,4.29276668813045,4.0,24535.0,34.50345
1971-02-01,357.67,39.9,4.29276668813045,4.38,,
1971-02-02,357.55,39.9,4.29276668813045,4.25,,
1971-02-03,357.54,39.9,4.29276668813045,3.75,,
1971-02-04,357.51,39.9,4.29276668813045,4.25,,
1971-02-05,357.53,39.9,4.29276668813045,3.88,,
1971-02-08,357.49,39.9,4.29276668813045,3.5,,
1971-02-09,357.5,39.9,4.29276668813045,2.75,,
1971-02-10,357.5,39.9,4.29276668813045,3.0,,
1971-02-11,357.5,39.9,4.29276668813045,4.0,,
1971-02-12,,39.9,4.29276668813045,4.0,,
1971-02-15,,39.9,4.29276668813045,4.0,,
1971-02-16,357.53,39.9,4.29276668813045,4.0,,
1971-02-17,357.53,39.9,4.29276668813045,5.0,,
1971-02-18,357.53,39.9,4.29276668813045,4.13,,
1971-02-19,357.56,39.9,4.29276668813045,3.88,,
1971-02-22,357.6,39.9,4.29276668813045,3.25,,
1971-02-23,357.55,39.9,4.29276668813045,3.0,,
1971-02-24,357.6,39.9,4.29276668813045,2.25,,
1971-02-25,357.56,39.9,4.29276668813045,3.25,,
1971-02-26,357.56,39.9,4.29276668813045,3.38,,
1971-03-01,357.63,40.0,4.29276668813045,3.63,,
1971-03-02,357.56,40.0,4.29276668813045,3.63,,
1971-03-03,357.49,40.0,4.29276668813045,3.25,,
1971-03-04,357.45,40.0,4.29276668813045,3.5,,
1971-03-05,357.59,40.0,4.29276668813045,3.25,,
1971-03-08,357.55,40.0,4.29276668813045,3.13,,
1971-03-09,357.46,40.0,4.29276668813045,3.13,,
1971-03-10,357.59,40.0,4.29276668813045,3.5,,
1971-03-11,357.56,40.0,4.29276668813045,3.5,,
1971-03-12,357.58,40.0,4.29276668813045,4.13,,
1971-03-15,357.54,40.0,4.29276668813045,4.13,,
1971-03-16,357.49,40.0,4.29276668813045,4.0,,
1971-03-17,357.53,40.0,4.29276668813045,3.5,,
1971-03-18,357.56,40.0,4.29276668813045,4.13,,
1971-03-19,357.56,40.0,4.29276668813045,3.75,,
1971-03-22,357.44,40.0,4.29276668813045,3.38,,
1971-03-23,357.53,40.0,4.29276668813045,3.38,,
1971-03-24,357.53,40.0,4.29276668813045,3.75,,
1971-03-25,357.47,40.0,4.29276668813045,3.75,,
1971-03-26,357.47,40.0,4.29276668813045,3.75,,
1971-03-29,357.44,40.0,4.29276668813045,4.13,,
1971-03-30,357.49,40.0,4.29276668813045,4.5,,
1971-03-31,357.42,40.0,4.29276668813045,4.5,,
1971-04-01,357.49,40.1,4.29276668813045,4.0,24597.0,34.36089
1971-04-02,357.53,40.1,4.29276668813045,3.88,24597.0,34.36089
1971-04-05,357.5,40.1,4.29276668813045,4.0,24597.0,34.36089
1971-04-06,357.46,40.1,4.29276668813045,4.25,24597.0,34.36089
1971-04-07,357.55,40.1,4.29276668813045,4.0,24597.0,34.36089
1971-04-08,357.55,40.1,4.29276668813045,4.13,24597.0,34.36089
1971-04-09,357.5,40.1,4.29276668813045,4.25,24597.0,34.36089
1971-04-12,357.5,40.1,4.29276668813045,4.25,24597.0,34.36089
1971-04-13,357.62,40.1,4.29276668813045,4.5,24597.0,34.36089
1971-04-14,357.58,40.1,4.29276668813045,3.75,24597.0,34.36089
1971-04-15,357.5,40.1,4.29276668813045,4.38,24597.0,34.36089
1971-04-16,357.54,40.1,4.29276668813045,4.25,24597.0,34.36089
1971-04-19,357.49,40.1,4.29276668813045,4.25,24597.0,34.36089
1971-04-20,357.49,40.1,4.29276668813045,4.13,24597.0,34.36089
1971-04-21,357.49,40.1,4.29276668813045,4.38,24597.0,34.36089
1971-04-22,357.49,40.1,4.29276668813045,4.25,24597.0,34.36089
1971-04-23,357.49,40.1,4.29276668813045,4.13,24597.0,34.36089
1971-04-26,357.5,40.1,4.29276668813045,4.0,24597.0,34.36089
1971-04-27,357.49,40.1,4.29276668813045,4.0,24597.0,34.36089
1971-04-28,357.5,40.1,4.29276668813045,4.38,24597.0,34.36089
1971-04-29,357.41,40.1,4.29276668813045,4.25,24597.0,34.36089
1971-04-30,357.4,40.1,4.29276668813045,4.25,24597.0,34.36089
1971-05-03,357.41,40.3,4.29276668813045,4.38,,
1971-05-04,357.4,40.3,4.29276668813045,4.63,,
1971-05-05,357.4,40.3,4.29276668813045,4.88,,
1971-05-06,357.41,40.3,4.29276668813045,4.75,,
1971-05-07,357.41,40.3,4.29276668813045,4.63,,
1971-05-10,357.14,40.3,4.29276668813045,4.5,,
1971-05-11,357.44,40.3,4.29276668813045,4.5,,
1971-05-12,357.53,40.3,4.29276668813045,4.5,,
1971-05-13,357.49,40.3,4.29276668813045,4.5,,
1971-05-14,357.49,40.3,4.29276668813045,4.38,,
1971-05-17,357.4,40.3,4.29276668813045,4.63,,
1971-05-18,357.44,40.3,4.29276668813045,4.88,,
1971-05-19,357.4,40.3,4.29276668813045,4.75,,
1971-05-20,357.46,40.3,4.29276668813045,4.75,,
1971-05-21,357.4,40.3,4.29276668813045,4.63,,
1971-05-24,357.4,40.3,4.29276668813045,4.75,,
1971-05-25,357.4,40.3,4.29276668813045,4.75,,
1971-05-26,357.44,40.3,4.29276668813045,4.63,,
1971-05-27,357.4,40.3,4.29276668813045,4.88,,
1971-05-28,357.4,40.3,4.29276668813045,4.88,,
1971-05-31,,40.3,4.29276668813045,4.88,,
1971-06-01,357.46,40.5,4.29276668813045,4.75,,
1971-06-02,357.4,40.5,4.29276668813045,4.63,,
1971-06-03,357.46,40.5,4.29276668813045,4.75,,
1971-06-04,357.4,40.5,4.29276668813045,4.75,,
1971-06-07,357.4,40.5,4.29276668813045,4.75,,
1971-06-08,357.4,40.5,4.29276668813045,4.75,,
1971-06-09,357.4,40.5,4.29276668813045,4.88,,
1971-06-10,357.4,40.5,4.29276668813045,4.75,,
1971-06-11,357.4,40.5,4.29276668813045,4.88,,
1971-06-14,357.4,40.5,4.29276668813045,5.0,,
1971-06-15,357.46,40.5,4.29276668813045,5.0,,
1971-06-16,357.46,40.5,4.29276668813045,4.88,,
1971-06-17,357.46,40.5,4.29276668813045,4.88,,
1971-06-18,357.4,40.5,4.29276668813045,4.88,,
1971-06-21,357.4,40.5,4.29276668813045,5.13,,
1971-06-22,357.4,40.5,4.29276668813045,5.25,,
1971-06-23,357.4,40.5,4.29276668813045,4.88,,
1971-06-24,357.4,40.5,4.29276668813045,5.13,,
1971-06-25,357.4,40.5,4.29276668813045,5.13,,
1971-06-28,357.37,40.5,4.29276668813045,5.13,,
1971-06-29,357.39,40.5,4.29276668813045,5.13,,
1971-06-30,357.4,40.5,4.29276668813045,4.75,,
1971-07-01,357.4,40.6,4.29276668813045,5.25,24723.0,35.00694
1971-07-02,357.4,40.6,4.29276668813045,5.25,24723.0,35.00694
1971-07-05,,40.6,4.29276668813045,5.25,24723.0,35.00694
1971-07-06,357.45,40.6,4.29276668813045,5.13,24723.0,35.00694
1971-07-07,357.46,40.6,4.29276668813045,4.88,24723.0,35.00694
1971-07-08,357.46,40.6,4.29276668813045,5.25,24723.0,35.00694
1971-07-09,357.4,40.6,4.29276668813045,5.13,24723.0,35.00694
1971-07-12,357.41,40.6,4.29276668813045,5.13,24723.0,35.00694
1971-07-13,357.44,40.6,4.29276668813045,5.0,24723.0,35.00694
1971-07-14,357.4,40.6,4.29276668813045,5.13,24723.0,35.00694
1971-07-15,357.4,40.6,4.29276668813045,5.25,24723.0,35.00694
1971-07-16,357.4,40.6,4.29276668813045,5.5,24723.0,35.00694
1971-07-19,357.39,40.6,4.29276668813045,5.63,24723.0,35.00694
1971-07-20,357.39,40.6,4.29276668813045,5.38,24723.0,35.00694
1971-07-21,357.4,40.6,4.29276668813045,5.5,24723.0,35.00694
1971-07-22,357.37,40.6,4.29276668813045,5.5,24723.0,35.00694
1971-07-23,357.36,40.6,4.29276668813045,5.38,24723.0,35.00694
1971-07-26,357.4,40.6,4.29276668813045,5.25,24723.0,35.00694
1971-07-27,357.37,40.6,4.29276668813045,5.38,24723.0,35.00694
1971-07-28,357.4,40.6,4.29276668813045,5.38,24723.0,35.00694
1971-07-29,357.4,40.6,4.29276668813045,5.5,24723.0,35.00694
1971-07-30,357.39,40.6,4.29276668813045,5.5,24723.0,35.00694
1971-08-02,357.41,40.7,4.29276668813045,5.63,,
1971-08-03,357.37,40.7,4.29276668813045,5.63,,
1971-08-04,357.37,40.7,4.29276668813045,5.75,,
1971-08-05,357.37,40.7,4.29276668813045,5.63,,
1971-08-06,357.37,40.7,4.29276668813045,5.63,,
1971-08-09,357.35,40.7,4.29276668813045,5.5,,
1971-08-10,357.39,40.7,4.29276668813045,5.63,,
1971-08-11,357.35,40.7,4.29276668813045,5.5,,
1971-08-12,357.4,40.7,4.29276668813045,5.63,,
1971-08-13,357.35,40.7,4.29276668813045,5.63,,
1971-08-16,,40.7,4.29276668813045,5.5,,
1971-08-17,,40.7,4.29276668813045,5.63,,
1971-08-18,,40.7,4.29276668813045,5.5,,
1971-08-19,,40.7,4.29276668813045,5.5,,
1971-08-20,,40.7,4.29276668813045,5.5,,
1971-08-23,,40.7,4.29276668813045,5.5,,
1971-08-24,,40.7,4.29276668813045,5.5,,
1971-08-25,,40.7,4.29276668813045,5.38,,
1971-08-26,,40.7,4.29276668813045,5.5,,
1971-08-27,,40.7,4.29276668813045,5.5,,
1971-08-30,,40.7,4.29276668813045,5.63,,
1971-08-31,339.85,40.7,4.29276668813045,5.75,,
1971-09-01,341.01,40.8,4.29276668813045,5.75,,
1971-09-02,338.98,40.8,4.29276668813045,5.63,,
1971-09-03,340.14,40.8,4.29276668813045,5.75,,
1971-09-06,,40.8,4.29276668813045,5.75,,
1971-09-07,339.79,40.8,4.29276668813045,5.75,,
1971-09-08,339.39,40.8,4.29276668813045,5.75,,
1971-09-09,339.07,40.8,4.29276668813045,5.75,,
1971-09-10,338.81,40.8,4.29276668813045,5.75,,
1971-09-13,338.98,40.8,4.29276668813045,5.63,,
1971-09-14,338.24,40.8,4.29276668813045,5.38,,
1971-09-15,338.41,40.8,4.29276668813045,5.13,,
1971-09-16,337.84,40.8,4.29276668813045,5.5,,
1971-09-17,337.95,40.8,4.29276668813045,5.44,,
1971-09-20,337.27,40.8,4.29276668813045,5.38,,
1971-09-21,337.34,40.8,4.29276668813045,5.5,,
1971-09-22,337.44,40.8,4.29276668813045,5.5,,
1971-09-23,337.27,40.8,4.29276668813045,5.5,,
1971-09-24,336.98,40.8,4.29276668813045,5.5,,
1971-09-27,336.25,40.8,4.29276668813045,5.38,,
1971-09-28,336.36,40.8,4.29276668813045,5.38,,
1971-09-29,335.57,40.8,4.29276668813045,5.25,,
1971-09-30,335.35,40.8,4.29276668813045,5.38,,
1971-10-01,333.39,40.9,4.29276668813045,5.38,24705.0,35.63237
1971-10-04,333.17,40.9,4.29276668813045,5.38,24705.0,35.63237
1971-10-05,333.14,40.9,4.29276668813045,5.38,24705.0,35.63237
1971-10-06,332.65,40.9,4.29276668813045,5.0,24705.0,35.63237
1971-10-07,332.61,40.9,4.29276668813045,5.25,24705.0,35.63237
1971-10-08,332.37,40.9,4.29276668813045,5.25,24705.0,35.63237
1971-10-11,,40.9,4.29276668813045,5.25,24705.0,35.63237
1971-10-12,330.52,40.9,4.29276668813045,5.25,24705.0,35.63237
1971-10-13,331.4,40.9,4.29276668813045,5.5,24705.0,35.63237
1971-10-14,330.85,40.9,4.29276668813045,5.38,24705.0,35.63237
1971-10-15,330.58,40.9,4.29276668813045,5.25,24705.0,35.63237
1971-10-18,329.6,40.9,4.29276668813045,5.13,24705.0,35.63237
1971-10-19,330.85,40.9,4.29276668813045,5.0,24705.0,35.63237
1971-10-20,331.07,40.9,4.29276668813045,4.75,24705.0,35.63237
1971-10-21,330.79,40.9,4.29276668813045,5.0,24705.0,35.63237
1971-10-22,330.36,40.9,4.29276668813045,5.0,24705.0,35.63237
1971-10-25,,40.9,4.29276668813045,5.0,24705.0,35.63237
1971-10-26,329.0,40.9,4.29276668813045,5.0,24705.0,35.63237
1971-10-27,329.54,40.9,4.29276668813045,5.75,24705.0,35.63237
1971-10-28,329.71,40.9,4.29276668813045,5.13,24705.0,35.63237
1971-10-29,329.5,40.9,4.29276668813045,5.13,24705.0,35.63237
1971-11-01,329.45,41.0,4.29276668813045,5.13,,
1971-11-02,,41.0,4.29276668813045,5.13,,
1971-11-03,329.5,41.0,4.29276668813045,5.38,,
1971-11-04,330.87,41.0,4.29276668813045,5.0,,
1971-11-05,329.16,41.0,4.29276668813045,5.0,,
1971-11-08,329.22,41.0,4.29276668813045,4.88,,
1971-11-09,329.16,41.0,4.29276668813045,4.88,,
1971-11-10,329.11,41.0,4.29276668813045,4.75,,
1971-11-11,329.11,41.0,4.29276668813045,4.75,,
1971-11-12,329.49,41.0,4.29276668813045,4.88,,
1971-11-15,328.73,41.0,4.29276668813045,5.0,,
1971-11-16,328.62,41.0,4.29276668813045,5.0,,
1971-11-17,328.8,41.0,4.29276668813045,4.75,,
1971-11-18,328.68,41.0,4.29276668813045,4.75,,
1971-11-19,328.4,41.0,4.29276668813045,4.75,,
1971-11-22,328.41,41.0,4.29276668813045,4.88,,
1971-11-23,328.19,41.0,4.29276668813045,5.0,,
1971-11-24,328.04,41.0,4.29276668813045,5.13,,
1971-11-25,,41.0,4.29276668813045,5.13,,
1971-11-26,327.6,41.0,4.29276668813045,5.0,,
1971-11-29,327.06,41.0,4.29276668813045,4.63,,
1971-11-30,327.44,41.0,4.29276668813045,4.25,,
1971-12-01,327.6,41.1,4.29276668813045,3.75,,
1971-12-02,326.0,41.1,4.29276668813045,4.5,,
1971-12-03,325.1,41.1,4.29276668813045,4.5,,
1971-12-06,326.53,41.1,4.29276668813045,4.63,,
1971-12-07,323.62,41.1,4.29276668813045,4.75,,
1971-12-08,323.5,41.1,4.29276668813045,4.75,,
1971-12-09,323.52,41.1,4.29276668813045,4.5,,
1971-12-10,323.1,41.1,4.29276668813045,4.5,,
1971-12-13,322.79,41.1,4.29276668813045,4.25,,
1971-12-14,322.58,41.1,4.29276668813045,4.13,,
1971-12-15,321.54,41.1,4.29276668813045,3.0,,
1971-12-16,320.0,41.1,4.29276668813045,4.13,,
1971-12-17,320.36,41.1,4.29276668813045,4.13,,
1971-12-20,,41.1,4.29276668813045,3.75,,
1971-12-21,314.98,41.1,4.29276668813045,3.5,,
1971-12-22,314.96,41.1,4.29276668813045,3.5,,
1971-12-23,315.01,41.1,4.29276668813045,3.75,,
1971-12-24,315.21,41.1,4.29276668813045,4.0,,
1971-12-27,314.96,41.1,4.29276668813045,3.75,,
1971-12-28,315.01,41.1,4.29276668813045,3.88,,
1971-12-29,315.21,41.1,4.29276668813045,5.0,,
1971-12-30,315.01,41.1,4.29276668813045,4.38,,
1971-12-31,315.01,41.1,4.29276668813045,3.0,,
1972-01-03,314.86,41.2,3.27227824655283,4.25,25099.0,34.72622
1972-01-04,314.96,41.2,3.27227824655283,3.75,25099.0,34.72622
1972-01-05,314.86,41.2,3.27227824655283,3.63,25099.0,34.72622
1972-01-06,312.01,41.2,3.27227824655283,3.75,25099.0,34.72622
1972-01-07,312.5,41.2,3.27227824655283,3.88,25099.0,34.72622
1972-01-10,312.99,41.2,3.27227824655283,3.75,25099.0,34.72622
1972-01-11,314.47,41.2,3.27227824655283,3.63,25099.0,34.72622
1972-01-12,313.48,41.2,3.27227824655283,3.25,25099.0,34.72622
1972-01-13,313.97,41.2,3.27227824655283,3.63,25099.0,34.72622
1972-01-14,312.99,41.2,3.27227824655283,3.5,25099.0,34.72622
1972-01-17,313.38,41.2,3.27227824655283,3.5,25099.0,34.72622
1972-01-18,312.89,41.2,3.27227824655283,3.63,25099.0,34.72622
1972-01-19,312.79,41.2,3.27227824655283,3.5,25099.0,34.72622
1972-01-20,312.01,41.2,3.27227824655283,3.5,25099.0,34.72622
1972-01-21,312.3,41.2,3.27227824655283,3.5,25099.0,34.72622
1972-01-24,312.21,41.2,3.27227824655283,3.38,25099.0,34.72622
1972-01-25,311.82,41.2,3.27227824655283,3.38,25099.0,34.72622
1972-01-26,311.53,41.2,3.27227824655283,3.25,25099.0,34.72622
1972-01-27,310.08,41.2,3.27227824655283,3.38,25099.0,34.72622
1972-01-28,310.46,41.2,3.27227824655283,3.25,25099.0,34.72622
1972-01-31,310.56,41.2,3.27227824655283,3.13,25099.0,34.72622
1972-02-01,310.37,41.4,3.27227824655283,3.25,,
1972-02-02,308.55,41.4,3.27227824655283,3.13,,
1972-02-03,309.12,41.4,3.27227824655283,3.25,,
1972-02-04,308.64,41.4,3.27227824655283,3.25,,
1972-02-07,308.17,41.4,3.27227824655283,3.25,,
1972-02-08,307.69,41.4,3.27227824655283,3.25,,
1972-02-09,304.79,41.4,3.27227824655283,3.25,,
1972-02-10,304.69,41.4,3.27227824655283,3.25,,
1972-02-11,304.69,41.4,3.27227824655283,3.38,,
1972-02-14,304.23,41.4,3.27227824655283,3.38,,
1972-02-15,304.14,41.4,3.27227824655283,3.5,,
1972-02-16,303.95,41.4,3.27227824655283,3.75,,
1972-02-17,303.95,41.4,3.27227824655283,3.5,,
1972-02-18,303.49,41.4,3.27227824655283,3.38,,
1972-02-21,,41.4,3.27227824655283,3.38,,
1972-02-22,302.85,41.4,3.27227824655283,3.25,,
1972-02-23,302.48,41.4,3.27227824655283,3.13,,
1972-02-24,302.11,41.4,3.27227824655283,3.25,,
1972-02-25,302.48,41.4,3.27227824655283,3.13,,
1972-02-28,303.95,41.4,3.27227824655283,3.13,,
1972-02-29,303.4,41.4,3.27227824655283,3.25,,
1972-03-01,303.21,41.4,3.27227824655283,3.25,,
1972-03-02,303.03,41.4,3.27227824655283,3.38,,
1972-03-03,302.66,41.4,3.27227824655283,3.38,,
1972-03-06,302.75,41.4,3.27227824655283,3.5,,
1972-03-07,302.3,41.4,3.27227824655283,3.5,,
1972-03-08,302.02,41.4,3.27227824655283,3.5,,
1972-03-09,301.66,41.4,3.27227824655283,3.63,,
1972-03-10,301.93,41.4,3.27227824655283,3.88,,
1972-03-13,302.3,41.4,3.27227824655283,3.88,,
1972-03-14,302.21,41.4,3.27227824655283,4.13,,
1972-03-15,302.11,41.4,3.27227824655283,3.88,,
1972-03-16,302.02,41.4,3.27227824655283,3.88,,
1972-03-17,302.11,41.4,3.27227824655283,3.88,,
1972-03-20,302.3,41.4,3.27227824655283,3.88,,
1972-03-21,302.11,41.4,3.27227824655283,4.0,,
1972-03-22,302.11,41.4,3.27227824655283,4.0,,
1972-03-23,301.93,41.4,3.27227824655283,4.0,,
1972-03-24,302.3,41.4,3.27227824655283,4.0,,
1972-03-27,302.57,41.4,3.27227824655283,4.0,,
1972-03-28,302.85,41.4,3.27227824655283,4.13,,
1972-03-29,303.77,41.4,3.27227824655283,4.5,,
1972-03-30,303.77,41.4,3.27227824655283,4.25,,
1972-03-31,304.32,41.4,3.27227824655283,4.0,,
1972-04-03,304.14,41.5,3.27227824655283,4.25,25608.0,33.67383
1972-04-04,304.97,41.5,3.27227824655283,4.25,25608.0,33.67383
1972-04-05,305.16,41.5,3.27227824655283,4.38,25608.0,33.67383
1972-04-06,304.88,41.5,3.27227824655283,4.25,25608.0,33.67383
1972-04-07,303.21,41.5,3.27227824655283,4.31,25608.0,33.67383
1972-04-10,302.11,41.5,3.27227824655283,4.31,25608.0,33.67383
1972-04-11,302.3,41.5,3.27227824655283,4.25,25608.0,33.67383
1972-04-12,302.43,41.5,3.27227824655283,3.5,25608.0,33.67383
1972-04-13,302.57,41.5,3.27227824655283,4.13,25608.0,33.67383
1972-04-14,302.94,41.5,3.27227824655283,4.25,25608.0,33.67383
1972-04-17,302.57,41.5,3.27227824655283,4.06,25608.0,33.67383
1972-04-18,302.39,41.5,3.27227824655283,3.88,25608.0,33.67383
1972-04-19,302.94,41.5,3.27227824655283,3.5,25608.0,33.67383
1972-04-20,303.03,41.5,3.27227824655283,4.13,25608.0,33.67383
1972-04-21,303.21,41.5,3.27227824655283,4.0,25608.0,33.67383
1972-04-24,305.16,41.5,3.27227824655283,4.0,25608.0,33.67383
1972-04-25,304.32,41.5,3.27227824655283,4.25,25608.0,33.67383
1972-04-26,303.77,41.5,3.27227824655283,5.0,25608.0,33.67383
1972-04-27,304.23,41.5,3.27227824655283,4.38,25608.0,33.67383
1972-04-28,304.88,41.5,3.27227824655283,4.31,25608.0,33.67383
1972-05-01,304.41,41.6,3.27227824655283,4.25,,
1972-05-02,304.23,41.6,3.27227824655283,4.19,,
1972-05-03,304.32,41.6,3.27227824655283,4.0,,
1972-05-04,304.23,41.6,3.27227824655283,4.25,,
1972-05-05,304.32,41.6,3.27227824655283,4.25,,
1972-05-08,305.06,41.6,3.27227824655283,4.13,,
1972-05-09,304.97,41.6,3.27227824655283,4.0,,
1972-05-10,303.77,41.6,3.27227824655283,4.25,,
1972-05-11,303.58,41.6,3.27227824655283,4.25,,
1972-05-12,303.86,41.6,3.27227824655283,4.31,,
1972-05-15,304.32,41.6,3.27227824655283,4.25,,
1972-05-16,304.41,41.6,3.27227824655283,4.31,,
1972-05-17,304.51,41.6,3.27227824655283,4.5,,
1972-05-18,304.6,41.6,3.27227824655283,4.31,,
1972-05-19,304.04,41.6,3.27227824655283,4.25,,
1972-05-22,304.41,41.6,3.27227824655283,4.25,,
1972-05-23,304.23,41.6,3.27227824655283,4.25,,
1972-05-24,304.32,41.6,3.27227824655283,4.13,,
1972-05-25,304.32,41.6,3.27227824655283,4.31,,
1972-05-26,304.41,41.6,3.27227824655283,4.31,,
1972-05-29,,41.6,3.27227824655283,4.31,,
1972-05-30,305.34,41.6,3.27227824655283,4.31,,
1972-05-31,304.69,41.6,3.27227824655283,4.75,,
1972-06-01,304.41,41.7,3.27227824655283,4.44,,
1972-06-02,304.23,41.7,3.27227824655283,4.5,,
1972-06-05,304.69,41.7,3.27227824655283,4.44,,
1972-06-06,304.51,41.7,3.27227824655283,4.5,,
1972-06-07,304.41,41.7,3.27227824655283,4.5,,
1972-06-08,304.32,41.7,3.27227824655283,4.5,,
1972-06-09,304.23,41.7,3.27227824655283,4.5,,
1972-06-12,304.51,41.7,3.27227824655283,4.44,,
1972-06-13,304.04,41.7,3.27227824655283,4.38,,
1972-06-14,303.95,41.7,3.27227824655283,4.38,,
1972-06-15,304.04,41.7,3.27227824655283,4.44,,
1972-06-16,303.95,41.7,3.27227824655283,4.38,,
1972-06-19,303.86,41.7,3.27227824655283,4.44,,
1972-06-20,303.4,41.7,3.27227824655283,4.38,,
1972-06-21,302.94,41.7,3.27227824655283,4.38,,
1972-06-22,302.07,41.7,3.27227824655283,4.44,,
1972-06-23,294.12,41.7,3.27227824655283,4.44,,
1972-06-26,298.51,41.7,3.27227824655283,4.5,,
1972-06-27,298.51,41.7,3.27227824655283,4.56,,
1972-06-28,296.74,41.7,3.27227824655283,4.63,,
1972-06-29,300.75,41.7,3.27227824655283,4.63,,
1972-06-30,300.93,41.7,3.27227824655283,4.5,,
1972-07-03,300.84,41.8,3.27227824655283,4.75,25783.0,33.62447
1972-07-04,,41.8,3.27227824655283,4.75,25783.0,33.62447
1972-07-05,300.03,41.8,3.27227824655283,4.63,25783.0,33.62447
1972-07-06,300.57,41.8,3.27227824655283,4.63,25783.0,33.62447
1972-07-07,300.93,41.8,3.27227824655283,4.75,25783.0,33.62447
1972-07-10,301.3,41.8,3.27227824655283,4.69,25783.0,33.62447
1972-07-11,301.57,41.8,3.27227824655283,4.5,25783.0,33.62447
1972-07-12,301.2,41.8,3.27227824655283,4.25,25783.0,33.62447
1972-07-13,301.02,41.8,3.27227824655283,4.63,25783.0,33.62447
1972-07-14,301.2,41.8,3.27227824655283,4.56,25783.0,33.62447
1972-07-17,301.02,41.8,3.27227824655283,4.56,25783.0,33.62447
1972-07-18,300.75,41.8,3.27227824655283,4.63,25783.0,33.62447
1972-07-19,301.2,41.8,3.27227824655283,3.75,25783.0,33.62447
1972-07-20,300.93,41.8,3.27227824655283,4.56,25783.0,33.62447
1972-07-21,301.11,41.8,3.27227824655283,4.63,25783.0,33.62447
1972-07-24,301.2,41.8,3.27227824655283,4.56,25783.0,33.62447
1972-07-25,300.75,41.8,3.27227824655283,4.5,25783.0,33.62447
1972-07-26,301.2,41.8,3.27227824655283,4.25,25783.0,33.62447
1972-07-27,301.2,41.8,3.27227824655283,4.56,25783.0,33.62447
1972-07-28,301.2,41.8,3.27227824655283,4.5,25783.0,33.62447
1972-07-31,301.39,41.8,3.27227824655283,4.5,25783.0,33.62447
1972-08-01,301.2,41.9,3.27227824655283,4.63,,
1972-08-02,301.2,41.9,3.27227824655283,4.75,,
1972-08-03,301.2,41.9,3.27227824655283,4.63,,
1972-08-04,300.93,41.9,3.27227824655283,4.63,,
1972-08-07,301.11,41.9,3.27227824655283,4.69,,
1972-08-08,301.2,41.9,3.27227824655283,4.75,,
1972-08-09,301.2,41.9,3.27227824655283,4.88,,
1972-08-10,301.11,41.9,3.27227824655283,4.75,,
1972-08-11,301.11,41.9,3.27227824655283,4.81,,
1972-08-14,301.11,41.9,3.27227824655283,4.81,,
1972-08-15,301.2,41.9,3.27227824655283,4.81,,
1972-08-16,301.2,41.9,3.27227824655283,5.25,,
1972-08-17,301.2,41.9,3.27227824655283,4.88,,
1972-08-18,301.2,41.9,3.27227824655283,4.81,,
1972-08-21,301.11,41.9,3.27227824655283,4.69,,
1972-08-22,301.2,41.9,3.27227824655283,4.5,,
1972-08-23,301.2,41.9,3.27227824655283,4.75,,
1972-08-24,301.2,41.9,3.27227824655283,4.75,,
1972-08-25,301.2,41.9,3.27227824655283,4.75,,
1972-08-28,301.2,41.9,3.27227824655283,4.81,,
1972-08-29,301.2,41.9,3.27227824655283,5.0,,
1972-08-30,301.11,41.9,3.27227824655283,5.5,,
1972-08-31,301.11,41.9,3.27227824655283,5.13,,
1972-09-01,301.11,42.1,3.27227824655283,5.19,,
1972-09-04,,42.1,3.27227824655283,5.19,,
1972-09-05,301.2,42.1,3.27227824655283,4.63,,
1972-09-06,301.2,42.1,3.27227824655283,3.75,,
1972-09-07,301.11,42.1,3.27227824655283,4.75,,
1972-09-08,301.11,42.1,3.27227824655283,4.63,,
1972-09-11,301.2,42.1,3.27227824655283,4.63,,
1972-09-12,301.11,42.1,3.27227824655283,4.69,,
1972-09-13,301.11,42.1,3.27227824655283,4.88,,
